SKU,Nombre,Codigo_Barras,Categoria,Precio_Compra,Precio_Venta,Stock,Stock_Minimo
SKU-0273,Bebida Energética 250ml (Especial),780000000273,Bebidas y Jugos,990,1749,41,8
SKU-0274,Cerveza Lager 330cc Pack 6 (Familiar),780000000274,Bebidas y Jugos,5175,8038,19,7
SKU-0275,Cerveza Artesanal 330cc Pack 6 (Premium),780000000275,Bebidas y Jugos,6960,10788,35,6
SKU-0276,Leche Entera 1L Tetra (Económico),780000000276,Lácteos y Quesos,1063,1613,41,9
SKU-0277,Leche Descremada 1L (Natural),780000000277,Lácteos y Quesos,1105,1677,77,7
SKU-0278,Queso Gauda Laminado 500g (Cremoso),780000000278,Lácteos y Quesos,4320,6737,41,5
SKU-0279,Queso Mantecoso Trozo 500g (Doble),780000000279,Lácteos y Quesos,5040,7686,80,12
SKU-0280,Mantequilla con Sal 250g (Sur),780000000280,Lácteos y Quesos,2538,3901,55,6
SKU-0281,Yogurt Batido Vainilla 120g (Clásico),780000000281,Lácteos y Quesos,280,450,24,6
SKU-0282,Yogurt Frutilla 120g (Selección),780000000282,Lácteos y Quesos,294,473,68,6
SKU-0283,Crema de Leche 200ml (Especial),780000000283,Lácteos y Quesos,880,1419,36,10
SKU-0284,Manjar Tradicional 400g (Familiar),780000000284,Lácteos y Quesos,1495,2289,55,11
SKU-0285,Quesillo Fresco 300g (Premium),780000000285,Lácteos y Quesos,1800,2748,62,7
SKU-0286,Papas Fritas Lisas 200g (Económico),780000000286,Snacks y Dulces,1500,2363,16,7
SKU-0287,Galletas de Chocolate 130g (Natural),780000000287,Snacks y Dulces,845,1287,94,7
SKU-0288,Galletas de Agua 180g (Cremoso),780000000288,Snacks y Dulces,810,1202,39,8
SKU-0289,Barra de Cereal Frutilla (Doble),780000000289,Snacks y Dulces,420,700,25,9
SKU-0290,Chocolate con Almendras 100g (Sur),780000000290,Snacks y Dulces,1595,2741,33,14
SKU-0291,Maní Salado Tostado 150g (Clásico),780000000291,Snacks y Dulces,700,1190,50,8
SKU-0292,Gomitas Dulces 100g (Selección),780000000292,Snacks y Dulces,525,893,79,5
SKU-0293,Detergente Líquido 3L (Especial),780000000293,Limpieza y Hogar,4950,7689,29,10
SKU-0294,Lavaloza Limón 750ml (Familiar),780000000294,Limpieza y Hogar,1265,2059,77,5
SKU-0295,Cloro Gel 900ml (Premium),780000000295,Limpieza y Hogar,1140,1788,57,11
SKU-0296,Limpiador Multiuso Lavanda 900ml (Económico),780000000296,Limpieza y Hogar,1438,2238,37,8
SKU-0297,Papel Higiénico 4 Rollos Doble Hoja (Natural),780000000297,Limpieza y Hogar,2080,3237,34,11
SKU-0298,Toalla de Papel 2 Rollos (Cremoso),780000000298,Limpieza y Hogar,1620,2552,82,6
SKU-0299,Esponja de Cocina Pack 3 (Doble),780000000299,Limpieza y Hogar,910,1526,65,11
SKU-0300,Bolsas de Basura 50x70 10un (Sur),780000000300,Limpieza y Hogar,1015,1726,45,12
SKU-0301,Jamón de Pierna 250g Laminado (Clásico),780000000301,Fiambrería y Cecinas,1800,2790,35,8
SKU-0302,Salchichas Tradicionales 500g (Selección),780000000302,Fiambrería y Cecinas,1470,2300,61,8
SKU-0303,Salame Ahumado Laminado 100g (Especial),780000000303,Fiambrería y Cecinas,1210,1925,88,8
SKU-0304,Chorizo Parrillero Pack 4 (Familiar),780000000304,Fiambrería y Cecinas,2530,4013,88,6
SKU-0305,Alimento Perro Adulto Carne 3kg (Premium),780000000305,Mascotas,5880,8988,83,13
SKU-0306,Alimento Gato Pescado 1.5kg (Económico),780000000306,Mascotas,4750,7488,88,14
SKU-0307,Arroz Grano Largo (Natural),780000000307,Abarrotes,1235,1937,88,10
SKU-0308,Aceite Vegetal 900ml (Cremoso),780000000308,Abarrotes,1890,2957,48,10
SKU-0309,Fideos Spaghetti 400g (Doble),780000000309,Abarrotes,910,1526,46,12
SKU-0310,Harina sin Polvos 1kg (Sur),780000000310,Abarrotes,1233,2016,43,5
SKU-0311,Azúcar Blanca 1kg (Clásico),780000000311,Abarrotes,900,1450,15,9
SKU-0312,Sal Fina de Mesa 1kg (Selección),780000000312,Abarrotes,473,830,23,11
SKU-0313,Salsa de Tomate 200g (Especial),780000000313,Abarrotes,418,715,23,14
SKU-0314,Atún en Lomitos al Agua 160g (Familiar),780000000314,Abarrotes,1139,1828,45,7
SKU-0315,Lentejas 4mm 1kg (Premium),780000000315,Abarrotes,1920,2988,18,10
SKU-0316,Porotos Tórtola 1kg (Económico),780000000316,Abarrotes,2250,3488,70,5
SKU-0317,Bebida Cola 1.5L (Natural),780000000317,Bebidas y Jugos,1430,2327,36,10
SKU-0318,Bebida Naranja 1.5L (Cremoso),780000000318,Bebidas y Jugos,1485,2417,84,10
SKU-0319,Bebida Lima Limón 1.5L (Doble),780000000319,Bebidas y Jugos,1540,2506,21,10
SKU-0320,Jugo Naranja 1L Caja (Sur),780000000320,Bebidas y Jugos,1378,2161,75,10
SKU-0321,Jugo Durazno 1L Caja (Clásico),780000000321,Bebidas y Jugos,950,1490,71,14
SKU-0322,Agua Mineral sin Gas 1.5L (Selección),780000000322,Bebidas y Jugos,683,1145,35,5
SKU-0323,Agua Mineral con Gas 1.5L (Especial),780000000323,Bebidas y Jugos,715,1199,75,7
SKU-0324,Bebida Energética 250ml (Familiar),780000000324,Bebidas y Jugos,1035,1828,88,10
SKU-0325,Cerveza Lager 330cc Pack 6 (Premium),780000000325,Bebidas y Jugos,5400,8388,25,5
SKU-0326,Cerveza Artesanal 330cc Pack 6 (Económico),780000000326,Bebidas y Jugos,7250,11238,50,12
SKU-0327,Leche Entera 1L Tetra (Natural),780000000327,Lácteos y Quesos,1105,1677,56,8
SKU-0328,Leche Descremada 1L (Cremoso),780000000328,Lácteos y Quesos,1148,1742,82,11
SKU-0329,Queso Gauda Laminado 500g (Doble),780000000329,Lácteos y Quesos,4480,6986,51,8
SKU-0330,Queso Mantecoso Trozo 500g (Sur),780000000330,Lácteos y Quesos,5220,7961,38,8
SKU-0331,Mantequilla con Sal 250g (Clásico),780000000331,Lácteos y Quesos,1750,2690,62,8
SKU-0332,Yogurt Batido Vainilla 120g (Selección),780000000332,Lácteos y Quesos,294,473,84,5
SKU-0333,Yogurt Frutilla 120g (Especial),780000000333,Lácteos y Quesos,308,495,70,10
SKU-0334,Crema de Leche 200ml (Familiar),780000000334,Lácteos y Quesos,920,1483,87,9
SKU-0335,Manjar Tradicional 400g (Premium),780000000335,Lácteos y Quesos,1560,2388,66,7
SKU-0336,Quesillo Fresco 300g (Económico),780000000336,Lácteos y Quesos,1875,2863,62,10
SKU-0337,Papas Fritas Lisas 200g (Natural),780000000337,Snacks y Dulces,1560,2457,84,8
SKU-0338,Galletas de Chocolate 130g (Cremoso),780000000338,Snacks y Dulces,878,1337,50,6
SKU-0339,Galletas de Agua 180g (Doble),780000000339,Snacks y Dulces,840,1246,22,13
SKU-0340,Barra de Cereal Frutilla (Sur),780000000340,Snacks y Dulces,435,725,35,11
SKU-0341,Chocolate con Almendras 100g (Clásico),780000000341,Snacks y Dulces,1100,1890,74,10
SKU-0342,Maní Salado Tostado 150g (Selección),780000000342,Snacks y Dulces,735,1250,27,14
SKU-0343,Gomitas Dulces 100g (Especial),780000000343,Snacks y Dulces,550,935,62,6
SKU-0344,Detergente Líquido 3L (Familiar),780000000344,Limpieza y Hogar,5175,8038,91,14
SKU-0345,Lavaloza Limón 750ml (Premium),780000000345,Limpieza y Hogar,1320,2148,43,6
SKU-0346,Cloro Gel 900ml (Económico),780000000346,Limpieza y Hogar,1188,1863,43,14
SKU-0347,Limpiador Multiuso Lavanda 900ml (Natural),780000000347,Limpieza y Hogar,1495,2327,92,6
SKU-0348,Papel Higiénico 4 Rollos Doble Hoja (Cremoso),780000000348,Limpieza y Hogar,2160,3362,55,10
SKU-0349,Toalla de Papel 2 Rollos (Doble),780000000349,Limpieza y Hogar,1680,2646,74,8
SKU-0350,Esponja de Cocina Pack 3 (Sur),780000000350,Limpieza y Hogar,943,1581,83,11
SKU-0351,Bolsas de Basura 50x70 10un (Clásico),780000000351,Limpieza y Hogar,700,1190,19,13
SKU-0352,Jamón de Pierna 250g Laminado (Selección),780000000352,Fiambrería y Cecinas,1890,2930,50,5
SKU-0353,Salchichas Tradicionales 500g (Especial),780000000353,Fiambrería y Cecinas,1540,2409,92,9
SKU-0354,Salame Ahumado Laminado 100g (Familiar),780000000354,Fiambrería y Cecinas,1265,2012,22,6
SKU-0355,Chorizo Parrillero Pack 4 (Premium),780000000355,Fiambrería y Cecinas,2640,4188,62,5
SKU-0356,Alimento Perro Adulto Carne 3kg (Económico),780000000356,Mascotas,6125,9363,60,5
SKU-0357,Alimento Gato Pescado 1.5kg (Natural),780000000357,Mascotas,4940,7787,38,14
SKU-0358,Arroz Grano Largo (Cremoso),780000000358,Abarrotes,1283,2012,85,13
SKU-0359,Aceite Vegetal 900ml (Doble),780000000359,Abarrotes,1960,3066,40,12
SKU-0360,Fideos Spaghetti 400g (Sur),780000000360,Abarrotes,943,1581,51,10
SKU-0361,Harina sin Polvos 1kg (Clásico),780000000361,Abarrotes,850,1390,56,8
SKU-0362,Azúcar Blanca 1kg (Selección),780000000362,Abarrotes,945,1523,76,8
SKU-0363,Sal Fina de Mesa 1kg (Especial),780000000363,Abarrotes,495,869,71,7
SKU-0364,Salsa de Tomate 200g (Familiar),780000000364,Abarrotes,437,747,73,5
SKU-0365,Atún en Lomitos al Agua 160g (Premium),780000000365,Abarrotes,1188,1908,26,6
SKU-0366,Lentejas 4mm 1kg (Económico),780000000366,Abarrotes,2000,3113,17,11
SKU-0367,Porotos Tórtola 1kg (Natural),780000000367,Abarrotes,2340,3627,60,10
SKU-0368,Bebida Cola 1.5L (Cremoso),780000000368,Bebidas y Jugos,1485,2417,84,11
SKU-0369,Bebida Naranja 1.5L (Doble),780000000369,Bebidas y Jugos,1540,2506,47,9
SKU-0370,Bebida Lima Limón 1.5L (Sur),780000000370,Bebidas y Jugos,1595,2596,48,7
SKU-0371,Jugo Naranja 1L Caja (Clásico),780000000371,Bebidas y Jugos,950,1490,32,11
SKU-0372,Jugo Durazno 1L Caja (Selección),780000000372,Bebidas y Jugos,998,1565,40,10
SKU-0373,Agua Mineral sin Gas 1.5L (Especial),780000000373,Bebidas y Jugos,715,1199,57,11
SKU-0374,Agua Mineral con Gas 1.5L (Familiar),780000000374,Bebidas y Jugos,747,1254,62,5
SKU-0375,Bebida Energética 250ml (Premium),780000000375,Bebidas y Jugos,1080,1908,47,6
SKU-0376,Cerveza Lager 330cc Pack 6 (Económico),780000000376,Bebidas y Jugos,5625,8738,37,12
SKU-0377,Cerveza Artesanal 330cc Pack 6 (Natural),780000000377,Bebidas y Jugos,7540,11687,29,8
SKU-0378,Leche Entera 1L Tetra (Cremoso),780000000378,Lácteos y Quesos,1148,1742,37,10
SKU-0379,Leche Descremada 1L (Doble),780000000379,Lácteos y Quesos,1190,1806,42,10
SKU-0380,Queso Gauda Laminado 500g (Sur),780000000380,Lácteos y Quesos,4640,7236,31,10
SKU-0381,Queso Mantecoso Trozo 500g (Clásico),780000000381,Lácteos y Quesos,3600,5490,44,13
SKU-0382,Mantequilla con Sal 250g (Selección),780000000382,Lácteos y Quesos,1838,2825,22,8
SKU-0383,Yogurt Batido Vainilla 120g (Especial),780000000383,Lácteos y Quesos,308,495,22,6
SKU-0384,Yogurt Frutilla 120g (Familiar),780000000384,Lácteos y Quesos,322,518,75,14
SKU-0385,Crema de Leche 200ml (Premium),780000000385,Lácteos y Quesos,960,1548,85,5
SKU-0386,Manjar Tradicional 400g (Económico),780000000386,Lácteos y Quesos,1625,2488,55,5
SKU-0387,Quesillo Fresco 300g (Natural),780000000387,Lácteos y Quesos,1950,2977,72,13
SKU-0388,Papas Fritas Lisas 200g (Cremoso),780000000388,Snacks y Dulces,1620,2552,82,8
SKU-0389,Galletas de Chocolate 130g (Doble),780000000389,Snacks y Dulces,910,1386,90,5
SKU-0390,Galletas de Agua 180g (Sur),780000000390,Snacks y Dulces,870,1291,39,6
SKU-0391,Barra de Cereal Frutilla (Clásico),780000000391,Snacks y Dulces,300,500,69,7
SKU-0392,Chocolate con Almendras 100g (Selección),780000000392,Snacks y Dulces,1155,1985,41,9
SKU-0393,Maní Salado Tostado 150g (Especial),780000000393,Snacks y Dulces,770,1309,55,14
SKU-0394,Gomitas Dulces 100g (Familiar),780000000394,Snacks y Dulces,575,977,79,8
SKU-0395,Detergente Líquido 3L (Premium),780000000395,Limpieza y Hogar,5400,8388,37,14
SKU-0396,Lavaloza Limón 750ml (Económico),780000000396,Limpieza y Hogar,1375,2238,26,9
SKU-0397,Cloro Gel 900ml (Natural),780000000397,Limpieza y Hogar,1235,1937,47,12
SKU-0398,Limpiador Multiuso Lavanda 900ml (Cremoso),780000000398,Limpieza y Hogar,1553,2417,67,7
SKU-0399,Papel Higiénico 4 Rollos Doble Hoja (Doble),780000000399,Limpieza y Hogar,2240,3486,24,13
SKU-0400,Toalla de Papel 2 Rollos (Sur),780000000400,Limpieza y Hogar,1740,2741,37,5
SKU-0401,Esponja de Cocina Pack 3 (Clásico),780000000401,Limpieza y Hogar,650,1090,76,5
SKU-0402,Bolsas de Basura 50x70 10un (Selección),780000000402,Limpieza y Hogar,735,1250,75,6
SKU-0403,Jamón de Pierna 250g Laminado (Especial),780000000403,Fiambrería y Cecinas,1980,3069,54,11
SKU-0404,Salchichas Tradicionales 500g (Familiar),780000000404,Fiambrería y Cecinas,1610,2519,92,11
SKU-0405,Salame Ahumado Laminado 100g (Premium),780000000405,Fiambrería y Cecinas,1320,2100,81,10
SKU-0406,Chorizo Parrillero Pack 4 (Económico),780000000406,Fiambrería y Cecinas,2750,4363,24,11
SKU-0407,Alimento Perro Adulto Carne 3kg (Natural),780000000407,Mascotas,6370,9737,86,11
SKU-0408,Alimento Gato Pescado 1.5kg (Cremoso),780000000408,Mascotas,5130,8087,24,11
SKU-0409,Arroz Grano Largo (Doble),780000000409,Abarrotes,1330,2086,76,11
SKU-0410,Aceite Vegetal 900ml (Sur),780000000410,Abarrotes,2030,3176,82,14
SKU-0411,Fideos Spaghetti 400g (Clásico),780000000411,Abarrotes,650,1090,93,7
SKU-0412,Harina sin Polvos 1kg (Selección),780000000412,Abarrotes,893,1460,84,12
SKU-0413,Azúcar Blanca 1kg (Especial),780000000413,Abarrotes,990,1595,17,12
SKU-0414,Sal Fina de Mesa 1kg (Familiar),780000000414,Abarrotes,518,908,83,5
SKU-0415,Salsa de Tomate 200g (Premium),780000000415,Abarrotes,456,780,75,12
SKU-0416,Atún en Lomitos al Agua 160g (Económico),780000000416,Abarrotes,1238,1988,54,12
SKU-0417,Lentejas 4mm 1kg (Natural),780000000417,Abarrotes,2080,3237,80,10
SKU-0418,Porotos Tórtola 1kg (Cremoso),780000000418,Abarrotes,2430,3767,46,7
SKU-0419,Bebida Cola 1.5L (Doble),780000000419,Bebidas y Jugos,1540,2506,39,8
SKU-0420,Bebida Naranja 1.5L (Sur),780000000420,Bebidas y Jugos,1595,2596,89,7
SKU-0421,Bebida Lima Limón 1.5L (Clásico),780000000421,Bebidas y Jugos,1100,1790,57,11
SKU-0422,Jugo Naranja 1L Caja (Selección),780000000422,Bebidas y Jugos,998,1565,22,14
SKU-0423,Jugo Durazno 1L Caja (Especial),780000000423,Bebidas y Jugos,1045,1639,20,7
SKU-0424,Agua Mineral sin Gas 1.5L (Familiar),780000000424,Bebidas y Jugos,747,1254,20,9
SKU-0425,Agua Mineral con Gas 1.5L (Premium),780000000425,Bebidas y Jugos,780,1308,77,6
SKU-0426,Bebida Energética 250ml (Económico),780000000426,Bebidas y Jugos,1125,1988,90,8
SKU-0427,Cerveza Lager 330cc Pack 6 (Natural),780000000427,Bebidas y Jugos,5850,9087,41,5
SKU-0428,Cerveza Artesanal 330cc Pack 6 (Cremoso),780000000428,Bebidas y Jugos,7830,12137,37,10
SKU-0429,Leche Entera 1L Tetra (Doble),780000000429,Lácteos y Quesos,1190,1806,90,6
SKU-0430,Leche Descremada 1L (Sur),780000000430,Lácteos y Quesos,1233,1871,55,7
SKU-0431,Queso Gauda Laminado 500g (Clásico),780000000431,Lácteos y Quesos,3200,4990,48,14
SKU-0432,Queso Mantecoso Trozo 500g (Selección),780000000432,Lácteos y Quesos,3780,5765,35,10
SKU-0433,Mantequilla con Sal 250g (Especial),780000000433,Lácteos y Quesos,1925,2959,73,6
SKU-0434,Yogurt Batido Vainilla 120g (Familiar),780000000434,Lácteos y Quesos,322,518,19,7
SKU-0435,Yogurt Frutilla 120g (Premium),780000000435,Lácteos y Quesos,336,540,56,9
SKU-0436,Crema de Leche 200ml (Económico),780000000436,Lácteos y Quesos,1000,1613,79,5
SKU-0437,Manjar Tradicional 400g (Natural),780000000437,Lácteos y Quesos,1690,2587,89,8
SKU-0438,Quesillo Fresco 300g (Cremoso),780000000438,Lácteos y Quesos,2025,3092,47,8
SKU-0439,Papas Fritas Lisas 200g (Doble),780000000439,Snacks y Dulces,1680,2646,35,9
SKU-0440,Galletas de Chocolate 130g (Sur),780000000440,Snacks y Dulces,943,1436,83,5
SKU-0441,Galletas de Agua 180g (Clásico),780000000441,Snacks y Dulces,600,890,47,7
SKU-0442,Barra de Cereal Frutilla (Selección),780000000442,Snacks y Dulces,315,525,27,8
SKU-0443,Chocolate con Almendras 100g (Especial),780000000443,Snacks y Dulces,1210,2079,66,7
SKU-0444,Maní Salado Tostado 150g (Familiar),780000000444,Snacks y Dulces,805,1369,92,8
SKU-0445,Gomitas Dulces 100g (Premium),780000000445,Snacks y Dulces,600,1020,62,13
SKU-0446,Detergente Líquido 3L (Económico),780000000446,Limpieza y Hogar,5625,8738,44,10
SKU-0447,Lavaloza Limón 750ml (Natural),780000000447,Limpieza y Hogar,1430,2327,84,14
SKU-0448,Cloro Gel 900ml (Cremoso),780000000448,Limpieza y Hogar,1283,2012,55,13
SKU-0449,Limpiador Multiuso Lavanda 900ml (Doble),780000000449,Limpieza y Hogar,1610,2506,63,5
SKU-0450,Papel Higiénico 4 Rollos Doble Hoja (Sur),780000000450,Limpieza y Hogar,2320,3611,55,5
SKU-0451,Toalla de Papel 2 Rollos (Clásico),780000000451,Limpieza y Hogar,1200,1890,43,14
SKU-0452,Esponja de Cocina Pack 3 (Selección),780000000452,Limpieza y Hogar,683,1145,24,10
SKU-0453,Bolsas de Basura 50x70 10un (Especial),780000000453,Limpieza y Hogar,770,1309,36,5
SKU-0454,Jamón de Pierna 250g Laminado (Familiar),780000000454,Fiambrería y Cecinas,2070,3208,91,11
SKU-0455,Salchichas Tradicionales 500g (Premium),780000000455,Fiambrería y Cecinas,1680,2628,56,8
SKU-0456,Salame Ahumado Laminado 100g (Económico),780000000456,Fiambrería y Cecinas,1375,2188,17,14
SKU-0457,Chorizo Parrillero Pack 4 (Natural),780000000457,Fiambrería y Cecinas,2860,4537,83,6
SKU-0458,Alimento Perro Adulto Carne 3kg (Cremoso),780000000458,Mascotas,6615,10112,61,11
SKU-0459,Alimento Gato Pescado 1.5kg (Doble),780000000459,Mascotas,5320,8386,21,7
SKU-0460,Arroz Grano Largo (Sur),780000000460,Abarrotes,1378,2161,27,7
SKU-0461,Aceite Vegetal 900ml (Clásico),780000000461,Abarrotes,1400,2190,66,10
SKU-0462,Fideos Spaghetti 400g (Selección),780000000462,Abarrotes,683,1145,58,5
SKU-0463,Harina sin Polvos 1kg (Especial),780000000463,Abarrotes,935,1529,37,13
SKU-0464,Azúcar Blanca 1kg (Familiar),780000000464,Abarrotes,1035,1667,71,8
SKU-0465,Sal Fina de Mesa 1kg (Premium),780000000465,Abarrotes,540,948,64,6
SKU-0466,Salsa de Tomate 200g (Económico),780000000466,Abarrotes,475,813,31,5
SKU-0467,Atún en Lomitos al Agua 160g (Natural),780000000467,Abarrotes,1287,2067,18,7
SKU-0468,Lentejas 4mm 1kg (Cremoso),780000000468,Abarrotes,2160,3362,31,14
SKU-0469,Porotos Tórtola 1kg (Doble),780000000469,Abarrotes,2520,3906,28,14
SKU-0470,Bebida Cola 1.5L (Sur),780000000470,Bebidas y Jugos,1595,2596,39,9
SKU-0471,Bebida Naranja 1.5L (Clásico),780000000471,Bebidas y Jugos,1100,1790,32,12
SKU-0472,Bebida Lima Limón 1.5L (Selección),780000000472,Bebidas y Jugos,1155,1880,94,13
SKU-0473,Jugo Naranja 1L Caja (Especial),780000000473,Bebidas y Jugos,1045,1639,53,8
SKU-0474,Jugo Durazno 1L Caja (Familiar),780000000474,Bebidas y Jugos,1093,1713,31,10
SKU-0475,Agua Mineral sin Gas 1.5L (Premium),780000000475,Bebidas y Jugos,780,1308,84,12
SKU-0476,Agua Mineral con Gas 1.5L (Económico),780000000476,Bebidas y Jugos,813,1363,49,10
SKU-0477,Bebida Energética 250ml (Natural),780000000477,Bebidas y Jugos,1170,2067,29,10
SKU-0478,Cerveza Lager 330cc Pack 6 (Cremoso),780000000478,Bebidas y Jugos,6075,9437,20,9
SKU-0479,Cerveza Artesanal 330cc Pack 6 (Doble),780000000479,Bebidas y Jugos,8120,12586,32,10
SKU-0480,Leche Entera 1L Tetra (Sur),780000000480,Lácteos y Quesos,1233,1871,83,13
SKU-0481,Leche Descremada 1L (Clásico),780000000481,Lácteos y Quesos,850,1290,59,6
SKU-0482,Queso Gauda Laminado 500g (Selección),780000000482,Lácteos y Quesos,3360,5240,29,6
SKU-0483,Queso Mantecoso Trozo 500g (Especial),780000000483,Lácteos y Quesos,3960,6039,84,12
SKU-0484,Mantequilla con Sal 250g (Familiar),780000000484,Lácteos y Quesos,2012,3093,24,5
SKU-0485,Yogurt Batido Vainilla 120g (Premium),780000000485,Lácteos y Quesos,336,540,53,12
SKU-0486,Yogurt Frutilla 120g (Económico),780000000486,Lácteos y Quesos,350,563,70,11
SKU-0487,Crema de Leche 200ml (Natural),780000000487,Lácteos y Quesos,1040,1677,87,7
SKU-0488,Manjar Tradicional 400g (Cremoso),780000000488,Lácteos y Quesos,1755,2687,19,10
SKU-0489,Quesillo Fresco 300g (Doble),780000000489,Lácteos y Quesos,2100,3206,56,13
SKU-0490,Papas Fritas Lisas 200g (Sur),780000000490,Snacks y Dulces,1740,2741,89,5
SKU-0491,Galletas de Chocolate 130g (Clásico),780000000491,Snacks y Dulces,650,990,84,11
SKU-0492,Galletas de Agua 180g (Selección),780000000492,Snacks y Dulces,630,935,52,14
SKU-0493,Barra de Cereal Frutilla (Especial),780000000493,Snacks y Dulces,330,550,37,6
SKU-0494,Chocolate con Almendras 100g (Familiar),780000000494,Snacks y Dulces,1265,2174,48,14
SKU-0495,Maní Salado Tostado 150g (Premium),780000000495,Snacks y Dulces,840,1428,30,6
SKU-0496,Gomitas Dulces 100g (Económico),780000000496,Snacks y Dulces,625,1063,72,11
SKU-0497,Detergente Líquido 3L (Natural),780000000497,Limpieza y Hogar,5850,9087,71,14
SKU-0498,Lavaloza Limón 750ml (Cremoso),780000000498,Limpieza y Hogar,1485,2417,90,6
SKU-0499,Cloro Gel 900ml (Doble),780000000499,Limpieza y Hogar,1330,2086,41,12
SKU-0500,Limpiador Multiuso Lavanda 900ml (Sur),780000000500,Limpieza y Hogar,1668,2596,69,10
